"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"33276",509.354302613459,-1.3499874636351,0.438766104090578,-3.07678157234409,0.00209248571532486,0.0192796890442127
"33283",256.690620290746,-1.4085501957542,0.469892711252262,-2.99759958395698,0.00272114939589236,0.0231843733604256
"33288",580.656948928514,-1.08561255518852,0.377058335939539,-2.87916338590799,0.00398731702409149,0.0302142182049741
"33291",14501.1082831622,-2.86043669177703,0.669537453306036,-4.27225792620381,1.93503568979451e-05,0.000852090209165764
"33301",1696.95205377916,-2.68449278827448,0.58677322446645,-4.57500900917126,4.76199494366077e-06,0.00033347953937817
"33305",318.36684001068,-2.50526550886291,0.54795051239367,-4.5720652726811,4.82940438561661e-06,0.00033517878330626
"33335",1011.28888746542,-2.2007937761002,0.472403185453024,-4.65871917012942,3.18182921773671e-06,0.000258654521978546
"33338",845.197735863805,-1.82594059307981,0.457518612175181,-3.99096461758952,6.58050982765204e-05,0.00185805103534493
"33383",465.193643849503,-2.11532650831728,0.524031317062011,-4.03664139803111,5.42218513297629e-05,0.00163569344966101
"33404",365.939031641132,-1.0150868238003,0.270636473135029,-3.7507391817578,0.000176314027644234,0.00351642448922754
"33414",172.906601870679,-1.49276878212571,0.521522568871394,-2.86232825044589,0.0042054111542222,0.03137630024097
"33418",1460.68425940893,-1.25480228708283,0.374256024792252,-3.35279114819691,0.00080001049838916,0.0100003258796208
"33441",523.545317149756,-1.96954433148056,0.500464324946547,-3.93543402257677,8.30464771555963e-05,0.00214427408358529
"33443",10258.5175694627,-2.72167913419752,0.720742614264406,-3.77621508751121,0.000159229505214312,0.00329596094274395
"33445",11.1239810882893,-1.6179979397229,0.554191398718828,-2.9195652322706,0.00350520025510895,0.0275862696547913
"33448",17.5719048914189,-2.25900667703862,0.704389297823378,-3.2070428724842,0.0013410700816695,0.0141301920664176
"33449",9.89389140211646,-2.58486361209026,0.85762793421307,-3.01396853923845,0.00257854543507896,0.0223161205236328
"33452",8.83295928036294,-2.037441876863,0.595603182444502,-3.42080421481436,0.000624362625043439,0.00851293704062541
"33453",1617.17470662786,-2.17068288470267,0.502056207070701,-4.32358539568258,1.53513676423843e-05,0.00073027024443994
"33464",798.119342786228,-2.39309650966224,0.625281232832624,-3.82723226606551,0.000129592219546085,0.00287723849239398
"33502",25.1919610888696,-1.62222152479575,0.416949226324459,-3.89069321244736,9.9958247572701e-05,0.00242238439966749
"33510",486.340718605132,-2.25637809848807,0.506867403182893,-4.45161413876501,8.52272113514641e-06,0.000497571955726457
"33515",396.920914074112,-1.90039379582251,0.508082049372452,-3.74032855159861,0.000183779869545796,0.00360277420151113
"33533",16.8824968937493,-1.06578698573564,0.364183589803341,-2.92651018765332,0.00342788278666755,0.0271692233952225
"33538",525.390149980049,-1.13932365380911,0.371591010022326,-3.06606893891393,0.00216893300211944,0.0197153400419123
"33539",578.927850839861,-2.48626610839598,0.522629535546097,-4.75722464823592,1.96272707672821e-06,0.000195419545242389
"33540",5036.89140725073,-2.93209741201385,0.671990245303193,-4.36330353380491,1.28112994777502e-05,0.000650388658072032
"33564",10.9425533420772,-4.45082717471665,1.12387012367348,-3.96026825605853,7.48656155817672e-05,0.002010940270915
"33577",14.4089760729229,-1.04126178764874,0.376402744722583,-2.76635014555002,0.00566876319268642,0.0386052992825368
"33588",1587.35934315381,-2.31533101223299,0.540586292633254,-4.2829998536492,1.84390292885178e-05,0.000828080042593434
"33603",2682.87016334978,-1.22322475556547,0.447084046908598,-2.7360062700147,0.00621898410410459,0.0410149585792654
"33615",331.617103423173,-1.40160761696633,0.470647339297745,-2.97804215584788,0.00290096081847173,0.0242104878183567
"33653",1087.41141499526,-1.57751254885042,0.406467296226,-3.88103191449208,0.000104014189039204,0.0024855037098038
"33679",75.4388207677538,-1.08499840341801,0.347259214625046,-3.12446252747978,0.00178130208918665,0.0172078114348821
"33694",274.285631435696,-1.23192187872403,0.393958018268323,-3.12703847008637,0.00176576820384637,0.0170908265336871
"33703",945.054717238996,-1.5329489419806,0.408604570445712,-3.75166861278237,0.000175661553407323,0.00350613363164515
"33704",1195.63754989342,-1.73243584228161,0.440151913922532,-3.93599524955497,8.28526116424165e-05,0.00214427408358529
"33733",627.094557475275,-1.24404247105991,0.375743376170684,-3.31088330481916,0.000930019836361732,0.0111066246194608
"33741",752.550268383813,-1.13970526337398,0.297712929346312,-3.82820210689683,0.000129082741380005,0.0028708895762507
"33744",59.750869355123,-1.32647729582317,0.464817224677492,-2.85376106004576,0.00432050134176113,0.031891198065703
"33750",1266.52905485419,-1.81981558485127,0.469588520756911,-3.87534086633545,0.000106475545182377,0.00252785933885851
"33788",1022.93788050023,-1.86164096410687,0.441529486338193,-4.2163457293562,2.4829300682731e-05,0.00101029975400338
"33860",380.288195462728,-1.10456353934574,0.378654982727629,-2.91707118546031,0.00353335122776533,0.0277652879592645
"33881",798.078221443718,-1.5166196592205,0.464673945615361,-3.26383623082646,0.00109914679172282,0.0124792367810922
"33890",26757.8334036903,-3.01204696315484,0.700872938080145,-4.29756493581496,1.72684680806007e-05,0.000794968473215896
"33908",914.633555540482,-1.60932165090308,0.395865500024009,-4.06532433567835,4.79657108508984e-05,0.00153442488211442
"33919",14450.0507925322,-3.01198407391374,0.687862568029002,-4.37875851064881,1.19357301180227e-05,0.000620241729697884
"33942",663.617292021908,-1.04969504215947,0.287431452346083,-3.65198392031077,0.000260222182263993,0.00461961811886486
"33943",261.95962595725,-1.01517742680801,0.321687904391928,-3.15578364292855,0.00160067546631586,0.0160055085164351
"33952",2085.53224656555,-1.85393154605633,0.459202374221584,-4.03728649965938,5.40730171056009e-05,0.00163569344966101
"33964",16.6816067621115,-1.85842679399474,0.345201167457682,-5.38360518210751,7.30085520546599e-08,2.01660611309688e-05
"33966",522.579565619402,-1.4096514322371,0.41694756589167,-3.3808841867741,0.000722529894339554,0.0093597316821959
"33971",293.163875659258,-1.2614070490991,0.358782717404621,-3.51579657521946,0.000438436775521544,0.00671189743122612
"33972",222.117514291011,-1.41645519864459,0.488316739719677,-2.90068941617223,0.00372342725642022,0.0288007827048848
"33973",575.304253196483,-1.64954851300718,0.456795941627296,-3.6111277765096,0.00030486840379763,0.00515227602417995
"33977",94.0390209762281,-1.39494349549517,0.413208212730108,-3.37588521360366,0.000735786098792326,0.00944571379599065
"34043",1856.10397616967,-2.64543020841771,0.642952436648238,-4.11450374495593,3.88013259863946e-05,0.00133430851665128
"34063",923.87122185412,-1.12569276514908,0.409770322754881,-2.74713102105848,0.00601191125520686,0.0400918941650451
"34075",61.540051784079,-2.62198752834733,0.860280621003304,-3.04782819039842,0.00230501673364888,0.0206167374143358
"34097",798.029161421944,-1.04986029119244,0.371694912328634,-2.82452155348364,0.00473512634487403,0.0337502568110777
"34125",97.7305335517448,-1.45741665979622,0.343749530048921,-4.23976335208023,2.23755548970101e-05,0.000940725456946639
"34145",462.792503003359,-2.83243134074248,0.679763989151739,-4.16678639343194,3.08923717192862e-05,0.00116187883561497
"34146",59.1345001897143,-2.53029036762215,0.773600055978943,-3.27079910099053,0.0010724406684457,0.0122886781563393
"34169",947.472218836828,-1.92906831764101,0.411465710255655,-4.68828451450408,2.75504810049042e-06,0.000235766218395664
"34172",279.770122195379,-1.26033178848105,0.323844983726431,-3.89177492879037,9.95135397070958e-05,0.00241616617012843
"34173",797.357821520755,-1.75663650868315,0.433171937146849,-4.05528696123184,5.00727917406218e-05,0.0015794934287328
"34178",27.8108055918354,-2.42596810808659,0.496202380922026,-4.8890698661678,1.01313536564563e-06,0.00012900270046999
"34179",2075.04799104217,-2.29066251282327,0.506491827991657,-4.52260507717609,6.1083145570263e-06,0.000396238344295181
"34186",627.298782585746,-1.61461537045406,0.412032622173233,-3.91865906621156,8.90429582491949e-05,0.00224468646860188
"34202",138.055668702362,-1.04715669917081,0.368999945359804,-2.83782345319795,0.0045422298717361,0.032904907203936
"34203",93.9259911848909,-1.67808739550444,0.508471292278607,-3.3002598592822,0.000965953417466669,0.0114084650059236
"34210",449.560619171242,-2.2545111028083,0.544273764601742,-4.14223732510417,3.43934173959067e-05,0.00123912777849376
"34214",250.149240145467,-1.79665061924256,0.633008018845864,-2.8382746596454,0.00453581337381618,0.0328721169665728
"34219",348.712507777367,-1.4095400379739,0.401768468196735,-3.50833912950003,0.000450913849142823,0.00685264788874405
"34250",40.7487234731293,-1.72982619714979,0.404350501006466,-4.27803648776024,1.8854911967484e-05,0.00083941937369277
"34271",741.999291120218,-1.58164722784145,0.427140121139562,-3.70287676002382,0.000213168449356461,0.00402637582872703
"34272",249.687939845076,-3.64809380618323,0.849937236720248,-4.29219199791805,1.76917864409405e-05,0.000810100909260034
"34284",2684.36049734776,-1.8279354103943,0.5023841622609,-3.63852117106553,0.000274208089769708,0.00479368469119622
"34298",364.641903008025,-1.73750637486805,0.438496197728301,-3.96242061817063,7.41936796055841e-05,0.0019998816807012
"34318",28641.0417345138,-2.96805665603172,0.697941797065171,-4.25258476926347,2.11317184857909e-05,0.000904719307438327
"34336",2881.90936448958,-1.51353624033595,0.446731445689459,-3.38802261389961,0.000703984598276499,0.00918433537863215
"34337",363.998755341448,-1.83286426248474,0.548552788280111,-3.34127234724549,0.000833953752570516,0.0102647838984338
"34388",221.203651832059,-1.68070907141321,0.407819816519005,-4.12120501097543,3.7689584257448e-05,0.00130130381774909
"34395",953.293490551069,-4.29886017066254,0.779010979514947,-5.51835633092005,3.42185052922091e-08,1.19877344493893e-05
"34396",471.05960111574,-3.47515074085979,0.701657071001806,-4.95277662619158,7.31619422370014e-07,0.000104993517999111
"34407",25864.8770588907,-3.29326698430449,0.679651562798116,-4.84552256563077,1.2627885722382e-06,0.000147447785652976
"34413",1451.09037318594,-1.22734710239086,0.44209088139304,-2.77623256675971,0.00549928559313807,0.0377816657706688
"34425",245.295414520175,-1.54238852859368,0.447932684794446,-3.44334892485347,0.00057455750221293,0.00803698392849358
"34426",97.3815985635679,-1.30178627951952,0.436882794410129,-2.9797151459745,0.00288516542481944,0.024129884031675
"34449",4.12400720622842,-5.1614721128328,1.48763750426986,-3.46957649159705,0.000521279610386743,0.00755704897084205
"34457",378.510622496594,-1.40518300530248,0.492180824899535,-2.85501371490714,0.00430349704771845,0.0318215982043154
"34463",539.887634898367,-1.08929466999561,0.40537236805024,-2.68714583392772,0.00720654812643261,0.0453729922234806
"34472",111.760340156915,-2.08620836329522,0.758895443831814,-2.74900630943512,0.00597762355688283,0.0399358111649431
"34523",168.278795176467,-1.06774872185116,0.320930663819901,-3.32703864798149,0.000877741989744045,0.0106255590162795
"34528",387.046950561774,-1.61599188542672,0.429690044135875,-3.76083157494736,0.000169349431418878,0.00344136802823457
"34553",3645.87993622101,-3.1273565422826,0.622658673912153,-5.02258568508085,5.09804408986903e-07,8.39255101909358e-05
"34600",713.328023112617,-1.12097825087088,0.396623607884373,-2.82630238994165,0.00470887882198961,0.0336846781340209
"34613",155.807438233943,-1.91001581010196,0.68952159925359,-2.77005943275681,0.00560460648812875,0.0383003808106015
"34667",22184.2472901418,-2.70659436300619,0.643097512495982,-4.20868423592775,2.56862046451338e-05,0.0010277682631218
"34709",12.3074908559544,-1.51494361978438,0.478476353442553,-3.16618284035276,0.00154453675880338,0.0155732447366294
"34727",92196.215496279,-2.74531747586437,0.658003514006581,-4.17219272758612,3.01682287680518e-05,0.00113964920675546
"34732",56280.2327899344,-3.32263098067802,0.687110082182919,-4.83566035026319,1.3270434798263e-06,0.000150527023962402
"34737",742.616141735654,-1.18073777352233,0.291411881480364,-4.05178322697144,5.0828747647426e-05,0.00158901879648516
